Айді громади,Назва громади,[41031200] На забезпечення нагальних потреб функціонування держави в умовах воєнного стану,[41034700] На ліквідацію наслідків збройної агресії,[41036100] На житло для сімей ветеранів війни та інвалідів внаслідок війни,[41037800] На розвиток ветеранських просторів,[41035800] На діяльність фахівців із супроводу ветеранів війни,[41033900] Освітня субвенція (зарплати),[41032800] Облаштування безпечних умов (укриттів) у школах,[41033800] Майстерні профтехів,[41033000] Підтримка окремих закладів у системі охорони здоров'я,"[41037500] Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",Сума Війна та відновлення,Сума Освіта,Сума Охорона здоров'я
1356000000,Комарнівська,0.0,0.0,0.0,0.0,0.0,43605900.0,0.0,0.0,0.0,0.0,0.0,43605900.0,0.0
1356100000,Красненська,0.0,0.0,0.0,0.0,0.0,58842000.0,0.0,0.0,0.0,0.0,0.0,58842000.0,0.0
1356200000,Куликівська,0.0,0.0,0.0,0.0,0.0,41902400.0,0.0,0.0,0.0,0.0,0.0,41902400.0,0.0
1353800000,Лопатинська,0.0,0.0,0.0,0.0,0.0,37248300.0,0.0,0.0,0.0,0.0,0.0,37248300.0,0.0
1356300000,Львівська,0.0,0.0,0.0,0.0,0.0,1785434600.0,0.0,8330000.0,0.0,0.0,0.0,1793764600.0,0.0
1353900000,Меденицька,0.0,0.0,0.0,0.0,0.0,52457400.0,0.0,0.0,0.0,0.0,0.0,52457400.0,0.0
1356400000,Миколаївська,0.0,0.0,0.0,0.0,0.0,112754900.0,0.0,0.0,0.0,0.0,0.0,112754900.0,0.0
1356500000,Моршинська,0.0,0.0,0.0,0.0,0.0,38063300.0,0.0,0.0,0.0,0.0,0.0,38063300.0,0.0
1351700000,Мостиська,0.0,0.0,0.0,0.0,0.0,124806700.0,0.0,0.0,0.0,0.0,0.0,124806700.0,0.0
1353500000,Мурованська,0.0,0.0,0.0,0.0,0.0,27453800.0,0.0,0.0,0.0,0.0,0.0,27453800.0,0.0
1351100000,Новокалинівська,0.0,0.0,0.0,0.0,0.0,29869300.0,0.0,0.0,0.0,0.0,0.0,29869300.0,0.0
1356600000,Новороздільська,0.0,0.0,0.0,0.0,0.0,76331500.0,12430774.0,0.0,0.0,0.0,0.0,88762274.0,0.0
1356700000,Новояворівська,0.0,0.0,0.0,0.0,0.0,175991300.0,0.0,0.0,0.0,0.0,0.0,175991300.0,0.0
1356800000,Новояричівська,0.0,0.0,0.0,0.0,0.0,69249600.0,0.0,0.0,0.0,0.0,0.0,69249600.0,0.0
1356900000,Оброшинська,0.0,0.0,0.0,0.0,0.0,24445900.0,0.0,0.0,0.0,0.0,0.0,24445900.0,0.0
1357000000,Перемишлянська,0.0,0.0,0.0,0.0,0.0,74438900.0,0.0,0.0,0.0,0.0,0.0,74438900.0,0.0
1357200000,Поморянська,0.0,0.0,0.0,0.0,0.0,18978200.0,0.0,0.0,0.0,0.0,0.0,18978200.0,0.0
1357300000,Пустомитівська,0.0,0.0,0.0,0.0,0.0,58601900.0,0.0,0.0,0.0,0.0,0.0,58601900.0,0.0
1352700000,Підберізцівська,0.0,0.0,0.0,0.0,0.0,28830300.0,0.0,0.0,0.0,0.0,0.0,28830300.0,0.0
1357100000,Підкамінська,0.0,0.0,0.0,0.0,0.0,35658400.0,0.0,0.0,0.0,0.0,0.0,35658400.0,0.0
1357400000,Рава-Руська,0.0,0.0,0.0,0.0,0.0,92545000.0,0.0,0.0,0.0,0.0,0.0,92545000.0,0.0
1354000000,Радехівська,0.0,0.0,0.0,0.0,0.0,129451300.0,0.0,0.0,0.0,0.0,0.0,129451300.0,0.0
1357500000,Ралівська,0.0,0.0,0.0,0.0,0.0,50637500.0,5182834.0,0.0,0.0,0.0,0.0,55820334.0,0.0
1352500000,Розвадівська,0.0,0.0,0.0,0.0,0.0,40114900.0,0.0,0.0,0.0,0.0,0.0,40114900.0,0.0
1353000000,Рудківська,0.0,0.0,0.0,0.0,0.0,74259400.0,0.0,0.0,0.0,0.0,0.0,74259400.0,0.0
1357600000,Самбірська,0.0,0.0,0.0,0.0,0.0,91886700.0,0.0,0.0,0.0,0.0,0.0,91886700.0,0.0
1357700000,Сколівська,0.0,0.0,0.0,0.0,0.0,91240500.0,0.0,0.0,0.0,0.0,0.0,91240500.0,0.0
1353100000,Славська,0.0,0.0,0.0,0.0,0.0,81820500.0,0.0,0.0,0.0,0.0,0.0,81820500.0,0.0
1357800000,Сокальська,0.0,0.0,0.0,0.0,0.0,138301100.0,0.0,0.0,0.0,0.0,0.0,138301100.0,0.0
1357900000,Сокільницька,0.0,0.0,0.0,0.0,0.0,19007800.0,0.0,0.0,0.0,0.0,0.0,19007800.0,0.0
1352800000,Солонківська,0.0,0.0,0.0,0.0,0.0,51183000.0,0.0,0.0,0.0,0.0,0.0,51183000.0,0.0
1358000000,Старосамбірська,0.0,0.0,0.0,0.0,0.0,73326300.0,0.0,0.0,0.0,0.0,0.0,73326300.0,0.0
1358100000,Стрийська,0.0,0.0,0.0,0.0,0.0,262430700.0,0.0,0.0,0.0,0.0,0.0,262430700.0,0.0
1358200000,Стрілківська,0.0,0.0,0.0,0.0,0.0,54890700.0,0.0,0.0,0.0,0.0,0.0,54890700.0,0.0
1351800000,Судововишнянська,0.0,0.0,0.0,0.0,0.0,38520000.0,0.0,0.0,0.0,0.0,0.0,38520000.0,0.0
1358300000,Східницька,0.0,0.0,0.0,0.0,0.0,56544000.0,0.0,0.0,0.0,0.0,0.0,56544000.0,0.0
1351400000,Тростянецька,0.0,0.0,0.0,0.0,0.0,28910300.0,0.0,0.0,0.0,0.0,0.0,28910300.0,0.0
1358400000,Трускавецька,0.0,0.0,0.0,0.0,0.0,85355100.0,0.0,0.0,0.0,0.0,0.0,85355100.0,0.0
1358500000,Турківська,0.0,0.0,0.0,0.0,0.0,98068400.0,0.0,0.0,0.0,0.0,0.0,98068400.0,0.0
1358600000,Хирівська,0.0,0.0,0.0,0.0,0.0,59809600.0,0.0,0.0,0.0,0.0,0.0,59809600.0,0.0
1351600000,Ходорівська,0.0,0.0,0.0,0.0,0.0,70637300.0,0.0,0.0,0.0,0.0,0.0,70637300.0,0.0
1352200000,Шегинівська,0.0,0.0,0.0,0.0,0.0,38327400.0,0.0,0.0,0.0,0.0,0.0,38327400.0,0.0
1358700000,Шептицька,0.0,0.0,0.0,0.0,0.0,181602300.0,0.0,0.0,0.0,0.0,0.0,181602300.0,0.0
