Айді громади,Назва громади,[41010100] Реверсна дотація,[41020100] Базова дотація,[41020200] На здійснення переданих з державного бюджету видатків з утримання закладів освіти та охорони здоров'я,"[41020300] На функціонування територій, на яких ведуться бойові дії",[41020400] Додаткові дотації з державного бюджету місцевим бюджетам (загальна),[41020600] [Назву стерто] Додаткова дотація (виключена наприкінці 2024 року),[41020800] Бюджету Славутицької міської територіальної громади на утримання соціальної інфраструктури,[41021000] На компенсацію втрат доходів внаслідок пільг суб’єктам космічної діяльності,[41021100] [Назву стерто] Додаткова дотація (виключена наприкінці 2023 року),[41021200] Обласним бюджетам Донецької та Луганської областей на усунення наслідків ескалації,"[41021300] На компенсацію комунальним закладам, переданим на фінансування з місцевих бюджетів",[41021400] На здійснення повноважень органів самоврядування на деокупованих та інших територіях,Сума Базова,Сума Реверсна,Сума Додаткові
0750500000,Перечинська,0.0,1165800.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1165800.0,0.0,0.0
0754700000,Пийтерфолвівська,0.0,34106400.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,34106400.0,0.0,0.0
0754800000,Пилипецька,0.0,12816400.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12816400.0,0.0,0.0
0750300000,Полянська,0.0,16350800.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16350800.0,0.0,0.0
0754900000,Рахівська,0.0,18667200.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,18667200.0,0.0,0.0
0755000000,Свалявська,0.0,17883600.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,17883600.0,0.0,0.0
0755100000,Середнянська,0.0,19853300.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,19853300.0,0.0,0.0
0755200000,Синевирська,0.0,10940800.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10940800.0,0.0,0.0
0754000000,Солотвинська,0.0,6786500.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6786500.0,0.0,0.0
0755400000,Ставненська,0.0,12013800.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12013800.0,0.0,0.0
0755500000,Сюртівська,0.0,3180200.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3180200.0,0.0,0.0
0755600000,Тересвянська,0.0,31489700.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,31489700.0,0.0,0.0
0755700000,Тур'є-Реметівська,0.0,28786900.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,28786900.0,0.0,0.0
0750200000,Тячівська,2032600.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2032600.0,0.0
0755800000,Углянська,0.0,20268900.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20268900.0,0.0,0.0
0755900000,Ужгородська,134052000.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,134052000.0,0.0
0756000000,Усть-Чорнянська,0.0,6123000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6123000.0,0.0,0.0
0751600000,Холмківська,25789700.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,25789700.0,0.0
0756100000,Хустська,0.0,86329400.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,86329400.0,0.0,0.0
0756200000,Чинадіївська,0.0,24035200.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,24035200.0,0.0,0.0
0756300000,Чопська,5742600.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5742600.0,0.0
0756400000,Ясінянська,0.0,28075700.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,28075700.0,0.0,0.0
0854900000,Андрівська,0.0,3241200.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3241200.0,0.0,0.0
0855700000,Андріївська,0.0,4684100.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4684100.0,0.0,0.0
0854400000,Бердянська,0.0,74894900.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,74894900.0,0.0,0.0
0850100000,Берестівська,0.0,4151800.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4151800.0,0.0,0.0
0853500000,Благовіщенська,0.0,7664000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7664000.0,0.0,0.0
0851000000,Біленьківська,0.0,8640100.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8640100.0,0.0,0.0
0855800000,Василівська,0.0,2375100.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2375100.0,0.0,0.0
0851900000,Великобілозерська,0.0,463000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,463000.0,0.0,0.0
0850200000,Веселівська,0.0,9186900.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9186900.0,0.0,0.0
0852400000,Водянська,0.0,18203000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,18203000.0,0.0,0.0
0852900000,Воздвижівська,1037300.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1037300.0,0.0
0850600000,Воскресенська,0.0,2957500.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2957500.0,0.0,0.0
0855900000,Вільнянська,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0852700000,Гаврилівська,0.0,2376600.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2376600.0,0.0,0.0
