Айді громади,Назва громади,[41031200] На забезпечення нагальних потреб функціонування держави в умовах воєнного стану,[41034700] На ліквідацію наслідків збройної агресії,[41036100] На житло для сімей ветеранів війни та інвалідів внаслідок війни,"[41036800] Проект ""Ремонт житла для відновлення (HOPE)""",[41033900] Освітня субвенція (зарплати),"[41036000] ""Нова українська школа""",[41032800] Облаштування безпечних умов (укриттів) у школах,[41031900] Шкільні автобуси,[41033300] Забезпечення харчуванням учнів,[41033000] Підтримка окремих закладів у системі охорони здоров'я,"[41037500] Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",[41036500] Облаштування безпечних умов (укриттів) у закладах охорони здоров'я,Сума Війна та відновлення,Сума Освіта,Сума Охорона здоров'я
0353600000,Луківська,0.0,0.0,0.0,0.0,16614000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16614000.0,0.0
0355100000,Луцька,0.0,0.0,0.0,0.0,608103200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608103200.0,0.0
0352600000,Любешівська,0.0,0.0,0.0,0.0,164307600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164307600.0,0.0
0350600000,Люблинецька,0.0,0.0,0.0,0.0,19819000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19819000.0,0.0
0352900000,Любомльська,0.0,0.0,0.0,0.0,58359200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58359200.0,0.0
0356100000,Маневицька,0.0,0.0,0.0,0.0,128787100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128787100.0,0.0
0355200000,Мар'янівська,0.0,0.0,0.0,0.0,33938300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33938300.0,0.0
0356200000,Нововолинська,0.0,0.0,0.0,0.0,111798200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111798200.0,0.0
0353800000,Оваднівська,0.0,0.0,0.0,0.0,25380100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25380100.0,0.0
0356300000,Олицька,0.0,0.0,0.0,0.0,46619200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46619200.0,0.0
0353200000,Павлівська,0.0,0.0,0.0,0.0,24856200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24856200.0,0.0
0351300000,Поворська,0.0,0.0,0.0,0.0,19721900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19721900.0,0.0
0351400000,Поромівська,0.0,0.0,0.0,0.0,22425500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22425500.0,0.0
0351500000,Прилісненська,0.0,0.0,0.0,0.0,49211800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49211800.0,0.0
0354600000,Підгайцівська,0.0,0.0,0.0,0.0,85304000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85304000.0,0.0
0356400000,Ратнівська,0.0,0.0,0.0,0.0,96756000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96756000.0,0.0
0356500000,Рожищенська,0.0,0.0,0.0,0.0,97160200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97160200.0,0.0
0352700000,Рівненська,0.0,0.0,0.0,0.0,27188800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27188800.0,0.0
0352000000,Самарівська,0.0,0.0,0.0,0.0,30486900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30486900.0,0.0
0353400000,Сереховичівська,0.0,0.0,0.0,0.0,11061000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11061000.0,0.0
0353500000,Смідинська,0.0,0.0,0.0,0.0,17636900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17636900.0,0.0
0355400000,Сошичненська,0.0,0.0,0.0,0.0,51141200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51141200.0,0.0
0354900000,Старовижівська,0.0,0.0,0.0,0.0,49609100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49609100.0,0.0
0354100000,Торчинська,0.0,0.0,0.0,0.0,50188100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50188100.0,0.0
0353700000,Турійська,0.0,0.0,0.0,0.0,85743000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85743000.0,0.0
0350500000,Устилузька,0.0,0.0,0.0,0.0,26011400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26011400.0,0.0
0352400000,Цуманська,0.0,0.0,0.0,0.0,89723600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89723600.0,0.0
0350700000,Шацька,0.0,0.0,0.0,0.0,67533900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67533900.0,0.0
0753800000,Івановецька,0.0,0.0,0.0,0.0,32917900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32917900.0,0.0
0750400000,Іршавська,0.0,0.0,0.0,0.0,136479100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136479100.0,0.0
0750600000,Баранинська,0.0,0.0,0.0,0.0,30613400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30613400.0,0.0
0751800000,Батівська,0.0,0.0,0.0,0.0,46582100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46582100.0,0.0
0751900000,Бедевлянська,0.0,0.0,0.0,0.0,21265700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21265700.0,0.0
0751700000,Берегівська,0.0,0.0,0.0,0.0,143311300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143311300.0,0.0
0752100000,Богданська,0.0,0.0,0.0,0.0,69755300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69755300.0,0.0
0752200000,Буштинська,0.0,0.0,0.0,0.0,79871000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79871000.0,0.0
0752000000,Білківська,0.0,0.0,0.0,0.0,83235100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83235100.0,0.0
0750800000,Великоберезнянська,0.0,0.0,0.0,0.0,32503600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32503600.0,0.0
0752300000,Великоберезька,0.0,0.0,0.0,0.0,25931700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25931700.0,0.0
0752400000,Великобийганська,0.0,0.0,0.0,0.0,16953500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16953500.0,0.0
0752500000,Великобичківська,0.0,0.0,0.0,0.0,135957600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135957600.0,0.0
0752600000,Великодобронська,0.0,0.0,0.0,0.0,39091000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39091000.0,0.0
0752700000,Великолучківська,0.0,0.0,0.0,0.0,73273300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73273300.0,0.0
0752800000,Верхньокоропецька,0.0,0.0,0.0,0.0,25111500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25111500.0,0.0
0752900000,Вилоцька,0.0,0.0,0.0,0.0,46871300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46871300.0,0.0
0753000000,Виноградівська,0.0,0.0,0.0,0.0,214087000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214087000.0,0.0
0753100000,Вишківська,0.0,0.0,0.0,0.0,52710000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52710000.0,0.0
0753200000,Воловецька,0.0,0.0,0.0,0.0,37673200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673200.0,0.0
0750100000,Вільховецька,0.0,0.0,0.0,0.0,57577700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57577700.0,0.0
0750900000,Горондівська,0.0,0.0,0.0,0.0,31941900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31941900.0,0.0
0753300000,Горінчівська,0.0,0.0,0.0,0.0,60421600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60421600.0,0.0
0751000000,Довжанська,0.0,0.0,0.0,0.0,68396500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68396500.0,0.0
0753400000,Драгівська,0.0,0.0,0.0,0.0,49913300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49913300.0,0.0
0753600000,Дубриницько-Малоберезнянська,0.0,0.0,0.0,0.0,27613500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27613500.0,0.0
0753500000,Дубівська,0.0,0.0,0.0,0.0,92290000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92290000.0,0.0
0753700000,Жденіївська,0.0,0.0,0.0,0.0,22784400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22784400.0,0.0
0751100000,Зарічанська,0.0,0.0,0.0,0.0,30748200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30748200.0,0.0
0751300000,Керецьківська,0.0,0.0,0.0,0.0,46068900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46068900.0,0.0
0753900000,Колочавська,0.0,0.0,0.0,0.0,54662700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54662700.0,0.0
0754000000,Кольчинська,0.0,0.0,0.0,0.0,28095300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28095300.0,0.0
0754100000,Королівська,0.0,0.0,0.0,0.0,62245800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62245800.0,0.0
0751400000,Косоньська,0.0,0.0,0.0,0.0,21872400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21872400.0,0.0
0754200000,Костринська,0.0,0.0,0.0,0.0,23967400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23967400.0,0.0
0750700000,Мукачівська,0.0,0.0,0.0,0.0,291370800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291370800.0,0.0
0754300000,Міжгірська,0.0,0.0,0.0,0.0,129860800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129860800.0,0.0
0754400000,Неліпинська,0.0,0.0,0.0,0.0,21177300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21177300.0,0.0
0754500000,Нересницька,0.0,0.0,0.0,0.0,144577300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144577300.0,0.0
0754600000,Нижньоворітська,0.0,0.0,0.0,0.0,48936600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48936600.0,0.0
0751500000,Оноківська,0.0,0.0,0.0,0.0,18092900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18092900.0,0.0
0750500000,Перечинська,0.0,0.0,0.0,0.0,37699000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37699000.0,0.0
0754700000,Пийтерфолвівська,0.0,0.0,0.0,0.0,61281600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61281600.0,0.0
