Айді громади,Назва громади,[41031200] На забезпечення нагальних потреб функціонування держави в умовах воєнного стану,[41034700] На ліквідацію наслідків збройної агресії,[41036100] На житло для сімей ветеранів війни та інвалідів внаслідок війни,[41037800] На розвиток ветеранських просторів,[41035800] На діяльність фахівців із супроводу ветеранів війни,[41038800] Програма відновлення України III,[41033900] Освітня субвенція (зарплати),"[41036000] ""Нова українська школа""",[41032800] Облаштування безпечних умов (укриттів) у школах,[41037900] Шкільні автобуси (разова програма за рахунок залишків),[41037400] Покращення якості гарячого харчування,[41031100] Забезпечення харчуванням учнів (нові коди),"[41038000] Для підтримки закладів освіти, які постраждали внаслідок агресії",[41033000] Підтримка окремих закладів у системі охорони здоров'я,"[41037500] Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",Сума Війна та відновлення,Сума Освіта,Сума Охорона здоров'я
2357000000,Мошнівська,0.0,0.0,0.0,0.0,0,0.0,39825800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39825800.0,0.0
2350600000,Набутівська,0.0,0.0,0.0,0.0,0,0.0,15034500.0,0.0,0.0,0.0,53800.0,0.0,0.0,0.0,0.0,0.0,15088300.0,0.0
2357100000,Новодмитрівська,0.0,0.0,0.0,0.0,0,0.0,33628600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33628600.0,0.0
2352000000,Паланська,0.0,0.0,0.0,0.0,0,0.0,54074800.0,0.0,0.0,0.0,85800.0,0.0,0.0,0.0,0.0,0.0,54160600.0,0.0
2357200000,Піщанська,0.0,0.0,0.0,0.0,0,0.0,18377300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18377300.0,0.0
2350800000,Ротмістрівська,0.0,0.0,0.0,0.0,0,0.0,23740600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23740600.0,0.0
2354600000,Руськополянська,0.0,0.0,0.0,0.0,0,0.0,42004900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42004900.0,0.0
2354700000,Сагунівська,0.0,0.0,0.0,0.0,0,0.0,14824400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14824400.0,0.0
2350700000,Селищенська,0.0,0.0,0.0,0.0,0,0.0,18580500.0,0.0,0.0,0.0,46500.0,0.0,0.0,0.0,0.0,0.0,18627000.0,0.0
2355100000,Слобідська,0.0,0.0,0.0,0.0,0,0.0,44535200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44535200.0,0.0
