Айді громади,Назва громади,[41031200] На забезпечення нагальних потреб функціонування держави в умовах воєнного стану,[41034700] На ліквідацію наслідків збройної агресії,[41036100] На житло для сімей ветеранів війни та інвалідів внаслідок війни,[41033900] Освітня субвенція (зарплати),"[41036000] ""Нова українська школа""",[41032800] Облаштування безпечних умов (укриттів) у школах,[41033000] Підтримка окремих закладів у системі охорони здоров'я,"[41037500] Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",Сума Війна та відновлення,Сума Освіта,Сума Охорона здоров'я
0952500000,Угринівська,0.0,0.0,0.0,13757100.0,0.0,0.0,0.0,0.0,0.0,13757100.0,0.0
0956200000,Чернелицька,0.0,0.0,0.0,17806700.0,0.0,0.0,0.0,0.0,0.0,17806700.0,0.0
0951500000,Яблунівська,0.0,0.0,0.0,60812800.0,0.0,0.0,0.0,0.0,0.0,60812800.0,0.0
0951900000,Ямницька,0.0,0.0,0.0,24007900.0,0.0,0.0,0.0,0.0,0.0,24007900.0,0.0
0956300000,Яремчанська,0.0,0.0,0.0,55728400.0,0.0,0.0,0.0,0.0,0.0,55728400.0,0.0
2051800000,Ізюмська,0.0,58637816.0,0.0,59792000.0,0.0,0.0,0.0,0.0,58637816.0,59792000.0,0.0
2052400000,Балаклійська,0.0,48355470.0,0.0,72016900.0,0.0,0.0,0.0,0.0,48355470.0,72016900.0,0.0
2052500000,Барвінківська,0.0,0.0,0.0,55769400.0,0.0,0.0,0.0,0.0,0.0,55769400.0,0.0
2052600000,Безлюдівська,0.0,0.0,0.0,36415500.0,0.0,0.0,0.0,0.0,0.0,36415500.0,0.0
2054000000,Берестинська,0.0,0.0,0.0,70075700.0,0.0,0.0,0.0,0.0,0.0,70075700.0,0.0
2052800000,Близнюківська,0.0,0.0,0.0,57813200.0,0.0,0.0,0.0,0.0,0.0,57813200.0,0.0
2052900000,Богодухівська,0.0,0.0,0.0,86193600.0,0.0,0.0,0.0,0.0,0.0,86193600.0,0.0
2053000000,Борівська,0.0,0.0,0.0,32610300.0,0.0,0.0,0.0,0.0,0.0,32610300.0,0.0
2052700000,Біляївська,0.0,0.0,0.0,16134200.0,0.0,0.0,0.0,0.0,0.0,16134200.0,0.0
2053100000,Валківська,0.0,0.0,0.0,75487000.0,0.0,0.0,0.0,0.0,0.0,75487000.0,0.0
2051300000,Великобурлуцька,0.0,0.0,0.0,24771500.0,0.0,0.0,0.0,0.0,0.0,24771500.0,0.0
2053200000,Височанська,0.0,0.0,0.0,41327500.0,0.0,0.0,0.0,0.0,0.0,41327500.0,0.0
2053500000,Вовчанська,0.0,0.0,0.0,28468500.0,0.0,0.0,0.0,0.0,0.0,28468500.0,0.0
2053400000,Вільхуватська,0.0,0.0,0.0,5397800.0,0.0,0.0,0.0,0.0,0.0,5397800.0,0.0
2053300000,Вільхівська,0.0,0.0,0.0,18022900.0,0.0,0.0,0.0,0.0,0.0,18022900.0,0.0
2053600000,Дворічанська,0.0,0.0,0.0,2893800.0,0.0,0.0,0.0,0.0,0.0,2893800.0,0.0
2053700000,Дергачівська,0.0,0.0,0.0,91539000.0,0.0,0.0,0.0,0.0,0.0,91539000.0,0.0
2052000000,Донецька,0.0,0.0,0.0,39208800.0,0.0,0.0,0.0,0.0,0.0,39208800.0,0.0
2050700000,Зачепилівська,0.0,0.0,0.0,41465000.0,0.0,0.0,0.0,0.0,0.0,41465000.0,0.0
2054700000,Златопільська,0.0,0.0,0.0,53528400.0,0.0,0.0,0.0,0.0,0.0,53528400.0,0.0
2053800000,Зміївська,0.0,0.0,0.0,89414300.0,0.0,0.0,0.0,0.0,0.0,89414300.0,0.0
2050800000,Золочівська,0.0,0.0,0.0,58709200.0,0.0,0.0,0.0,0.0,0.0,58709200.0,0.0
2053900000,Кегичівська,0.0,0.0,0.0,52637000.0,0.0,0.0,0.0,0.0,0.0,52637000.0,0.0
2051000000,Коломацька,0.0,0.0,0.0,18154400.0,0.0,0.0,0.0,0.0,0.0,18154400.0,0.0
2054100000,Краснокутська,0.0,0.0,0.0,73161700.0,0.0,0.0,0.0,0.0,0.0,73161700.0,0.0
2054200000,Куньєвська,0.0,0.0,0.0,16862100.0,0.0,0.0,0.0,0.0,0.0,16862100.0,0.0
2054300000,Куп'янська,0.0,0.0,0.0,26873400.0,0.0,0.0,0.0,0.0,0.0,26873400.0,0.0
2052200000,Курилівська,0.0,0.0,0.0,7605100.0,0.0,0.0,0.0,0.0,0.0,7605100.0,0.0
2052100000,Кіндрашівська,0.0,0.0,0.0,4971200.0,0.0,0.0,0.0,0.0,0.0,4971200.0,0.0
2054400000,Липецька,0.0,0.0,0.0,17924300.0,0.0,0.0,0.0,0.0,0.0,17924300.0,0.0
2051700000,Лозівська,0.0,0.0,0.0,165463300.0,0.0,0.0,0.0,0.0,0.0,165463300.0,0.0
2054500000,Люботинська,0.0,0.0,0.0,50801900.0,0.0,0.0,0.0,0.0,0.0,50801900.0,0.0
2051200000,Малинівська,0.0,0.0,0.0,17130100.0,0.0,0.0,0.0,0.0,0.0,17130100.0,0.0
2050600000,Малоданилівська,0.0,0.0,0.0,14777400.0,0.0,0.0,0.0,0.0,0.0,14777400.0,0.0
2050200000,Мереф'янська,0.0,0.0,0.0,61209000.0,0.0,0.0,0.0,0.0,0.0,61209000.0,0.0
2051100000,Наталинська,0.0,0.0,0.0,31298400.0,0.0,0.0,0.0,0.0,0.0,31298400.0,0.0
2050500000,Нововодолазька,0.0,0.0,0.0,56863700.0,0.0,0.0,0.0,0.0,0.0,56863700.0,0.0
2054600000,Новопокровська,0.0,0.0,0.0,33620100.0,0.0,0.0,0.0,0.0,0.0,33620100.0,0.0
2051900000,Олексіївська,0.0,0.0,0.0,17912500.0,0.0,0.0,0.0,0.0,0.0,17912500.0,0.0
2050900000,Оскільська,0.0,0.0,0.0,19283600.0,0.0,0.0,0.0,0.0,0.0,19283600.0,0.0
2052300000,Петропавлівська,0.0,0.0,0.0,7545800.0,0.0,0.0,0.0,0.0,0.0,7545800.0,0.0
2054800000,Печенізька,0.0,0.0,0.0,17014700.0,0.0,0.0,0.0,0.0,0.0,17014700.0,0.0
2050300000,Пролісненська,0.0,0.0,0.0,23867500.0,0.0,0.0,0.0,0.0,0.0,23867500.0,0.0
2054900000,Південна,0.0,0.0,0.0,26415900.0,0.0,0.0,0.0,0.0,0.0,26415900.0,0.0
2051400000,Пісочинська,0.0,0.0,0.0,55704100.0,0.0,0.0,0.0,0.0,0.0,55704100.0,0.0
2050400000,Роганська,0.0,0.0,0.0,24568500.0,0.0,0.0,0.0,0.0,0.0,24568500.0,0.0
2055000000,Савинська,0.0,0.0,0.0,16979500.0,0.0,0.0,0.0,0.0,0.0,16979500.0,0.0
