Код,Найменування,Група
41030700,|Субвенція з державного бюджету бюджету Автономної Республіки Крим для здійснення природоохоронного заходу з розроблення матеріалів до проекту зміни меж та розширення території Ялтинського гірсько-лісового природного заповідника|,Інфраструктура та розвиток
41031400,|Субвенція з державного бюджету місцевим бюджетам на реалізацію проектів в рамках Надзвичайної кредитної програми для відновлення України|,Інфраструктура та розвиток
41031600,|Субвенція з державного бюджету місцевим бюджетам на стимулювання розвитку індустріальних парків|,Інфраструктура та розвиток
41031700,|Субвенція з державного бюджету місцевим бюджетам на відновлення об'єктів критичної інфраструктури в рамках спільного з Міжнародним банком реконструкції та розвитку проекту «Проект розвитку міської інфраструктури - 2»|,Інфраструктура та розвиток
41032100,|Субвенція з державного бюджету бюджету міста Києва на ремонт та реконструкцію мосту імені Є. О. Патона|,Інфраструктура та розвиток
41032200,"|Субвенція з державного бюджету місцевим бюджетам на розвиток спортивної інфраструктури, у тому числі реконструкцію, будівельно-ремонтні роботи об'єктів закладів фізичної культури і спорту, що забезпечують розвиток резервного спорту, льодових палаців/арен та стадіонів|",Інфраструктура та розвиток
41032400,|Субвенція з державного бюджету місцевим бюджетам на реалізацію проектів транскордонного співробітництва|,Інфраструктура та розвиток
41033100,"|Субвенція з державного бюджету місцевим бюджетам на реалізацію проектів в рамках Програми з відновлення України(""https://zakon.rada.gov.ua/rada/show/971_002-20#n3"")|",Інфраструктура та розвиток
41034700,"|Субвенція з державного бюджету місцевим бюджетам на реалізацію проектів (об'єктів, заходів), спрямованих на ліквідацію наслідків збройної агресії|",Інфраструктура та розвиток
41036700,|Субвенція з державного бюджету обласному бюджету Донецької області на погашення заборгованості за електричну енергію підприємств водопостачання|,Інфраструктура та розвиток
41037100,|Субвенція з державного бюджету бюджету Харківської міської територіальної громади на подовження третьої лінії метрополітену у м. Харкові|,Інфраструктура та розвиток
41037300,"|Субвенція з державного бюджету місцевим бюджетам на фінансове забезпечення будівництва, реконструкції, ремонту і утримання автомобільних доріг загального користування місцевого значення, вулиць і доріг комунальної власності у населених пунктах|",Інфраструктура та розвиток
41037600,|Субвенція з державного бюджету місцевим бюджетам на реалізацію проектів у рамках проекту «Рішення для відновлюваної енергетики (RES)»|,Інфраструктура та розвиток
41037700,|Субвенція з державного бюджету бюджету Дніпровської міської територіальної громади на завершення будівництва метрополітену у м. Дніпрі|,Інфраструктура та розвиток
41038100,"|Субвенція з державного бюджету місцевим бюджетам на фінансове забезпечення будівництва, реконструкції, ремонту і утримання автомобільних доріг загального користування місцевого значення, вулиць і доріг комунальної власності у населених пунктах для обласного бюджету Харківської області|",Інфраструктура та розвиток
41038800,"|Субвенція з державного бюджету місцевим бюджетам на реалізацію проектів в рамках Програми відновлення України III(""https://zakon.rada.gov.ua/rada/show/971_002-24#n23"")|",Інфраструктура та розвиток
41039100,"|Субвенція з державного бюджету місцевим бюджетам на реалізацію проектів ремонтно-реставраційних та консерваційних робіт пам'яток культурної спадщини, що перебувають у комунальній власності|",Інфраструктура та розвиток
41052500,|Субвенція з місцевого бюджету на реалізацію проектів в рамках Надзвичайної кредитної програми для відновлення України за рахунок відповідної субвенції з державного бюджету|,Інфраструктура та розвиток
41052600,"|Субвенція з місцевого бюджету на фінансове забезпечення будівництва, реконструкції, ремонту і утримання автомобільних доріг загального користування місцевого значення, вулиць і доріг комунальної власності у населених пунктах за рахунок відповідної субвенції з державного бюджету|",Інфраструктура та розвиток
41053400,|Субвенція з місцевого бюджету на підготовку та реалізацію публічних інвестиційних проектів / програм публічних інвестицій|,Інфраструктура та розвиток
41053500,"|Субвенція з місцевого бюджету на фінансове забезпечення будівництва, реконструкції, ремонту і утримання автомобільних доріг загального користування місцевого значення, вулиць і доріг комунальної власності у населених пунктах|",Інфраструктура та розвиток
41053800,|Субвенція з місцевого бюджету на реалізацію проектів співробітництва між територіальними громадами|,Інфраструктура та розвиток
41055800,"|Субвенція з місцевого бюджету на погашення заборгованості з різниці в тарифах на виробництво, транспортування та постачання теплової енергії, на теплову енергію, послуги з централізованого опалення та централізованого постачання гарячої води, послуги з постачання теплової енергії та постачання гарячої води|",Інфраструктура та розвиток
41057100,"|Субвенція з місцевого бюджету на фінансове забезпечення будівництва, реконструкції, ремонту і утримання автомобільних доріг загального користування місцевого значення, вулиць і доріг комунальної власності у населених пунктах за рахунок залишку коштів відповідної субвенції з державного бюджету, що утворився на початок бюджетного періоду|",Інфраструктура та розвиток
41057300,"|Субвенція з місцевого бюджету на реалізацію проектів ремонтно-реставраційних та консерваційних робіт пам'яток культурної спадщини, що перебувають у комунальній власності, за рахунок відповідної субвенції з державного бюджету|",Інфраструктура та розвиток
41058700,"|Субвенція з місцевого бюджету на відновлення об'єктів критичної інфраструктури в рамках спільного з Міжнародним банком реконструкції та розвитку проекту ""Проект розвитку міської інфраструктури - 2"" за рахунок відповідної субвенції з державного бюджету|",Інфраструктура та розвиток
41059100,"|Субвенція з місцевого бюджету на реалізацію проектів (об'єктів, заходів), спрямованих на ліквідацію наслідків збройної агресії, за рахунок відповідної субвенції з державного бюджету|",Інфраструктура та розвиток
41059900,"|Субвенція з місцевого бюджету на реалізацію проектів в рамках Програми відновлення України III(""https://zakon.rada.gov.ua/rada/show/971_002-24#n23"") за рахунок відповідної субвенції з державного бюджету|",Інфраструктура та розвиток
41030000,|Субвенції з державного бюджету місцевим бюджетам|,Інші (Загальні/Некласифіковані)
41030600,"|Субвенція з державного бюджету місцевим бюджетам на забезпечення окремих видатків районних рад, спрямованих на виконання їх повноважень|",Інші (Загальні/Некласифіковані)
41031200,|Субвенція з державного бюджету місцевим бюджетам на забезпечення нагальних потреб функціонування держави в умовах воєнного стану|,Інші (Загальні/Некласифіковані)
41031800,|Субвенція з державного бюджету обласному бюджету Дніпропетровської області на закупівлю нових трамваїв для мм. Дніпра та Кривого Рогу|,Інші (Загальні/Некласифіковані)
41037000,"|Субвенція з державного бюджету місцевим бюджетам на проведення виборів депутатів місцевих рад та сільських, селищних, міських голів |",Інші (Загальні/Некласифіковані)
41050000,|Субвенції з місцевих бюджетів іншим місцевим бюджетам|,Інші (Загальні/Некласифіковані)
41053000,"|Субвенція з місцевого бюджету на проведення виборів депутатів місцевих рад та сільських, селищних, міських голів, за рахунок відповідної субвенції з державного бюджету|",Інші (Загальні/Некласифіковані)
41053600,|Субвенція з місцевого бюджету на здійснення природоохоронних заходів|,Інші (Загальні/Некласифіковані)
41053900,|Інші субвенції з місцевого бюджету|,Інші (Загальні/Некласифіковані)
41030200,"виключено на підставі Наказу Міністерства фінансів № 497 від 12.04.2011(""https://zakon.rada.gov.ua/rada/show/v0497201-11"")}||",Історичні (Виключені)
41030300,"виключено на підставі Наказу Міністерства фінансів № 545 від 18.12.2019(""https://zakon.rada.gov.ua/rada/show/v0545201-19"")}||",Історичні (Виключені)
41030300,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41030400,"виключено на підставі Наказу Міністерства фінансів № 545 від 18.12.2019(""https://zakon.rada.gov.ua/rada/show/v0545201-19"")}||",Історичні (Виключені)
41030400,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41030400,"виключено на підставі Наказу Міністерства фінансів № 722 від 29.12.2021(""https://zakon.rada.gov.ua/rada/show/v0722201-21#n64"")}||",Історичні (Виключені)
41030600,"виключено на підставі Наказу Міністерства фінансів № 827 від 30.12.2020(""https://zakon.rada.gov.ua/rada/show/v0827201-20"")}||",Історичні (Виключені)
41030700,"виключено на підставі Наказу Міністерства фінансів № 497 від 12.04.2011(""https://zakon.rada.gov.ua/rada/show/v0497201-11"")}||",Історичні (Виключені)
41030800,"виключено на підставі Наказу Міністерства фінансів № 630 від 11.12.2024(""https://zakon.rada.gov.ua/rada/show/v0630201-24#n10"")}||",Історичні (Виключені)
41030800,"виключено на підставі Наказу Міністерства фінансів № 827 від 30.12.2020(""https://zakon.rada.gov.ua/rada/show/v0827201-20"")}||",Історичні (Виключені)
41030900,"виключено на підставі Наказу Міністерства фінансів № 630 від 11.12.2024(""https://zakon.rada.gov.ua/rada/show/v0630201-24#n10"")}||",Історичні (Виключені)
41030900,"виключено на підставі Наказу Міністерства фінансів № 827 від 30.12.2020(""https://zakon.rada.gov.ua/rada/show/v0827201-20"")}||",Історичні (Виключені)
41031000,"виключено на підставі Наказу Міністерства фінансів № 630 від 11.12.2024(""https://zakon.rada.gov.ua/rada/show/v0630201-24#n10"")}||",Історичні (Виключені)
41031000,"виключено на підставі Наказу Міністерства фінансів № 827 від 30.12.2020(""https://zakon.rada.gov.ua/rada/show/v0827201-20"")}||",Історичні (Виключені)
41031100,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41031100,"виключено на підставі Наказу Міністерства фінансів № 630 від 11.12.2024(""https://zakon.rada.gov.ua/rada/show/v0630201-24#n10"")}||",Історичні (Виключені)
41031200,"виключено на підставі Наказу Міністерства фінансів № 497 від 12.04.2011(""https://zakon.rada.gov.ua/rada/show/v0497201-11"")}||",Історичні (Виключені)
41031200,"виключено на підставі Наказу Міністерства фінансів № 722 від 29.12.2021(""https://zakon.rada.gov.ua/rada/show/v0722201-21#n64"")}||",Історичні (Виключені)
41031200,"виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014(""https://zakon.rada.gov.ua/rada/show/v1290201-14"")}||",Історичні (Виключені)
41031300,"виключено на підставі Наказу Міністерства фінансів № 568 від 29.05.2013(""https://zakon.rada.gov.ua/rada/show/v0568201-13"")}   ||",Історичні (Виключені)
41031300,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41031400,"виключено на підставі Наказу Міністерства фінансів № 497 від 12.04.2011(""https://zakon.rada.gov.ua/rada/show/v0497201-11"")}  ||",Історичні (Виключені)
41031400,"виключено на підставі Наказу Міністерства фінансів № 397 від 11.04.2014(""https://zakon.rada.gov.ua/rada/show/v0397201-14"")}  ||",Історичні (Виключені)
41031600,"виключено на підставі Наказу Міністерства фінансів № 827 від 30.12.2020(""https://zakon.rada.gov.ua/rada/show/v0827201-20"")}||",Історичні (Виключені)
41031600,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41031700,"виключено на підставі Наказу Міністерства фінансів № 722 від 29.12.2021(""https://zakon.rada.gov.ua/rada/show/v0722201-21#n64"")}||",Історичні (Виключені)
41031700,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41031800,"виключено на підставі Наказу Міністерства фінансів № 545 від 18.12.2019(""https://zakon.rada.gov.ua/rada/show/v0545201-19"")}||",Історичні (Виключені)
41031800,"виключено на підставі Наказу Міністерства фінансів № 497 від 12.04.2011(""https://zakon.rada.gov.ua/rada/show/v0497201-11"")}   ||",Історичні (Виключені)
41031800,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41031900,"виключено на підставі Наказу Міністерства фінансів № 545 від 18.12.2019(""https://zakon.rada.gov.ua/rada/show/v0545201-19"")}||",Історичні (Виключені)
41031900,"виключено на підставі Наказу Міністерства фінансів № 722 від 29.12.2021(""https://zakon.rada.gov.ua/rada/show/v0722201-21#n64"")}||",Історичні (Виключені)
41031900,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41032000,"виключено на підставі Наказу Міністерства фінансів № 630 від 11.12.2024(""https://zakon.rada.gov.ua/rada/show/v0630201-24#n10"")}||",Історичні (Виключені)
41032000,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41032100,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41032200,"виключено на підставі Наказу Міністерства фінансів № 827 від 30.12.2020(""https://zakon.rada.gov.ua/rada/show/v0827201-20"")}||",Історичні (Виключені)
41032200,"виключено на підставі Наказу Міністерства фінансів № 397 від 11.04.2014(""https://zakon.rada.gov.ua/rada/show/v0397201-14"")}||",Історичні (Виключені)
41032300,"виключено на підставі Наказу Міністерства фінансів № 545 від 18.12.2019(""https://zakon.rada.gov.ua/rada/show/v0545201-19"")}||",Історичні (Виключені)
41032300,"виключено на підставі Наказу Міністерства фінансів № 630 від 11.12.2024(""https://zakon.rada.gov.ua/rada/show/v0630201-24#n10"")}||",Історичні (Виключені)
41032300,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41032400,"виключено на підставі Наказу Міністерства фінансів № 70 від 01.02.2018(""https://zakon.rada.gov.ua/rada/show/v0070201-18#n26"")}||",Історичні (Виключені)
41032500,"виключено на підставі Наказу Міністерства фінансів № 630 від 11.12.2024(""https://zakon.rada.gov.ua/rada/show/v0630201-24#n10"")}||",Історичні (Виключені)
41032500,"виключено на підставі Наказу Міністерства фінансів № 827 від 30.12.2020(""https://zakon.rada.gov.ua/rada/show/v0827201-20"")}||",Історичні (Виключені)
41032500,"виключено на підставі Наказу Міністерства фінансів № 568 від 29.05.2013(""https://zakon.rada.gov.ua/rada/show/v0568201-13"")}||",Історичні (Виключені)
41032500,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41032600,"виключено на підставі Наказу Міністерства фінансів № 630 від 11.12.2024(""https://zakon.rada.gov.ua/rada/show/v0630201-24#n10"")}||",Історичні (Виключені)
41032600,"виключено на підставі Наказу Міністерства фінансів № 545 від 18.12.2019(""https://zakon.rada.gov.ua/rada/show/v0545201-19"")}||",Історичні (Виключені)
41032700,"виключено на підставі Наказу Міністерства фінансів № 647 від 18.12.2024(""https://zakon.rada.gov.ua/rada/show/v0647201-24#n24"")}||",Історичні (Виключені)
41032700,"виключено на підставі Наказу Міністерства фінансів № 568 від 29.05.2013(""https://zakon.rada.gov.ua/rada/show/v0568201-13"")}||",Історичні (Виключені)
41032700,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41032800,"виключено на підставі Наказу Міністерства фінансів № 722 від 29.12.2021(""https://zakon.rada.gov.ua/rada/show/v0722201-21#n64"")}||",Історичні (Виключені)
41032800,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41032900,"виключено на підставі Наказу Міністерства фінансів № 652 від 24.12.2025(""https://zakon.rada.gov.ua/rada/show/v0652201-25#n24"")}||",Історичні (Виключені)
41032900,"виключено на підставі Наказу Міністерства фінансів № 827 від 30.12.2020(""https://zakon.rada.gov.ua/rada/show/v0827201-20"")}||",Історичні (Виключені)
41032900,"виключено на підставі Наказу Міністерства фінансів № 568 від 29.05.2013(""https://zakon.rada.gov.ua/rada/show/v0568201-13"")}||",Історичні (Виключені)
41032900,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41033000,"виключено на підставі Наказу Міністерства фінансів № 568 від 29.05.2013(""https://zakon.rada.gov.ua/rada/show/v0568201-13"")}||",Історичні (Виключені)
41033000,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41033100,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41033200,"виключено на підставі Наказу Міністерства фінансів № 397 від 11.04.2014(""https://zakon.rada.gov.ua/rada/show/v0397201-14"")}||",Історичні (Виключені)
41033200,"виключено на підставі Наказу Міністерства фінансів № 497 від 12.04.2011(""https://zakon.rada.gov.ua/rada/show/v0497201-11"")}||",Історичні (Виключені)
41033200,"виключено на підставі Наказу Міністерства фінансів № 568 від 29.05.2013(""https://zakon.rada.gov.ua/rada/show/v0568201-13"")}||",Історичні (Виключені)
41033200,"виключено на підставі Наказу Міністерства фінансів № 722 від 29.12.2021(""https://zakon.rada.gov.ua/rada/show/v0722201-21#n64"")}||",Історичні (Виключені)
41033300,"виключено на підставі Наказу Міністерства фінансів № 397 від 11.04.2014(""https://zakon.rada.gov.ua/rada/show/v0397201-14"")}||",Історичні (Виключені)
41033300,"виключено на підставі Наказу Міністерства фінансів № 568 від 29.05.2013(""https://zakon.rada.gov.ua/rada/show/v0568201-13"")}||",Історичні (Виключені)
41033300,"виключено на підставі Наказу Міністерства фінансів № 434 від 15.12.2022(""https://zakon.rada.gov.ua/rada/show/v0434201-22#n24"")}||",Історичні (Виключені)
41033400,"виключено на підставі Наказу Міністерства фінансів № 497 від 12.04.2011(""https://zakon.rada.gov.ua/rada/show/v0497201-11"")}||",Історичні (Виключені)
41033400,"виключено на підставі Наказу Міністерства фінансів № 568 від 29.05.2013(""https://zakon.rada.gov.ua/rada/show/v0568201-13"")}||",Історичні (Виключені)
41033400,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41033400,"виключено на підставі Наказу Міністерства фінансів № 630 від 11.12.2024(""https://zakon.rada.gov.ua/rada/show/v0630201-24#n10"")}||",Історичні (Виключені)
41033500,"виключено на підставі Наказу Міністерства фінансів № 568 від 29.05.2013(""https://zakon.rada.gov.ua/rada/show/v0568201-13"")}||",Історичні (Виключені)
41033500,"виключено на підставі Наказу Міністерства фінансів № 2 від 05.01.2016(""https://zakon.rada.gov.ua/rada/show/v0002201-16#n24"")}||",Історичні (Виключені)
41033500,"виключено на підставі Наказу Міністерства фінансів № 827 від 30.12.2020(""https://zakon.rada.gov.ua/rada/show/v0827201-20"")}||",Історичні (Виключені)
41033600,"виключено на підставі Наказу Міністерства фінансів № 545 від 18.12.2019(""https://zakon.rada.gov.ua/rada/show/v0545201-19"")}||",Історичні (Виключені)
41033700,"виключено на підставі Наказу Міністерства фінансів № 545 від 18.12.2019(""https://zakon.rada.gov.ua/rada/show/v0545201-19"")}||",Історичні (Виключені)
41033800,"виключено на підставі Наказу Міністерства фінансів № 397 від 11.04.2014(""https://zakon.rada.gov.ua/rada/show/v0397201-14"")}||",Історичні (Виключені)
41033800,"виключено на підставі Наказу Міністерства фінансів № 568 від 29.05.2013(""https://zakon.rada.gov.ua/rada/show/v0568201-13"")}||",Історичні (Виключені)
41033900,"виключено на підставі Наказу Міністерства фінансів № 740 від 21.06.2011(""https://zakon.rada.gov.ua/rada/show/v0740201-11"")}||",Історичні (Виключені)
41033900,"виключено на підставі Наказу Міністерства фінансів № 378 від 07.03.2013(""https://zakon.rada.gov.ua/rada/show/v0378201-13"")}||",Історичні (Виключені)
41034000,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41034100,"виключено на підставі Наказу Міністерства фінансів № 497 від 12.04.2011(""https://zakon.rada.gov.ua/rada/show/v0497201-11"")}||",Історичні (Виключені)
41034100,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41034200,"виключено на підставі Наказу Міністерства фінансів № 568 від 29.05.2013(""https://zakon.rada.gov.ua/rada/show/v0568201-13"")}||",Історичні (Виключені)
41034200,"виключено на підставі Наказу Міністерства фінансів № 722 від 29.12.2021(""https://zakon.rada.gov.ua/rada/show/v0722201-21#n64"")}||",Історичні (Виключені)
41034300,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41034300,"виключено на підставі Наказу Міністерства фінансів № 434 від 15.12.2022(""https://zakon.rada.gov.ua/rada/show/v0434201-22#n24"")}||",Історичні (Виключені)
41034400,"виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014(""https://zakon.rada.gov.ua/rada/show/v1290201-14"")}||",Історичні (Виключені)
41034600,"виключено на підставі Наказу Міністерства фінансів № 1290 від 31.12.2014(""https://zakon.rada.gov.ua/rada/show/v1290201-14"")}||",Історичні (Виключені)
41034700,"виключено на підставі Наказу Міністерства фінансів № 497 від 12.04.2011(""https://zakon.rada.gov.ua/rada/show/v0497201-11"")}||",Історичні (Виключені)
41034700,"виключено на підставі Наказу Міністерства фінансів № 568 від 29.05.2013(""https://zakon.rada.gov.ua/rada/show/v0568201-13"")}||",Історичні (Виключені)
41034700,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41034700,"виключено на підставі Наказу Міністерства фінансів № 722 від 29.12.2021(""https://zakon.rada.gov.ua/rada/show/v0722201-21#n64"")}||",Історичні (Виключені)
41034800,"виключено на підставі Наказу Міністерства фінансів № 1175 від 29.12.2017(""https://zakon.rada.gov.ua/rada/show/v1175201-17#n24"")}||",Історичні (Виключені)
41034800,"виключено на підставі Наказу Міністерства фінансів № 722 від 29.12.2021(""https://zakon.rada.gov.ua/rada/show/v0722201-21#n64"")}||",Історичні (Виключені)
41034900,"виключено на підставі Наказу Міністерства фінансів № 497 від 12.04.2011(""https://zakon.rada.gov.ua/rada/show/v0497201-11"")}||",Історичні (Виключені)
