Айді громади,Назва громади,[41010100] Реверсна дотація,[41020100] Базова дотація,[41020200] На здійснення переданих з державного бюджету видатків з утримання закладів освіти та охорони здоров'я,"[41020300] На функціонування територій, на яких ведуться бойові дії",[41020400] Додаткові дотації з державного бюджету місцевим бюджетам (загальна),[41020800] Бюджету Славутицької міської територіальної громади на утримання соціальної інфраструктури,[41021000] На компенсацію втрат доходів внаслідок пільг суб’єктам космічної діяльності,[41021200] Обласним бюджетам Донецької та Луганської областей на усунення наслідків ескалації,"[41021300] На компенсацію комунальним закладам, переданим на фінансування з місцевих бюджетів",[41021400] На здійснення повноважень органів самоврядування на деокупованих та інших територіях,Сума Базова,Сума Реверсна,Сума Додаткові
2151000000,Музиківська,0.0,4532300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22874400.0,4532300.0,0.0,22874400.0
2154300000,Нижньосірогозька,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52272500.0,0.0,0.0,52272500.0
2154400000,Нововоронцовська,0.0,24680200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21807600.0,24680200.0,0.0,21807600.0
2152800000,Новокаховська,0.0,161726000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232778600.0,161726000.0,0.0,232778600.0
2154500000,Новомиколаївська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14247000.0,0.0,0.0,14247000.0
2154600000,Новоолександрівська,0.0,13172500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14336100.0,13172500.0,0.0,14336100.0
2152700000,Новорайська,0.0,15668000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27182300.0,15668000.0,0.0,27182300.0
2154700000,Новотроїцька,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43797900.0,0.0,0.0,43797900.0
2154800000,Олешківська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83708000.0,0.0,0.0,83708000.0
2150900000,Присиваська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7240900.0,0.0,0.0,7240900.0
2154900000,Рубанівська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12708500.0,0.0,0.0,12708500.0
2155000000,Скадовська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103866100.0,0.0,0.0,103866100.0
2151500000,Станіславська,0.0,26115000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24647700.0,26115000.0,0.0,24647700.0
2151100000,Тавричанська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20243400.0,0.0,0.0,20243400.0
2155100000,Таврійська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37568100.0,0.0,0.0,37568100.0
2155200000,Тягинська,0.0,26597800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20411700.0,26597800.0,0.0,20411700.0
2155310000,Херсонська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2151200000,Хрестівська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18578900.0,0.0,0.0,18578900.0
2150500000,Чаплинська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29393800.0,0.0,0.0,29393800.0
2155400000,Чорнобаївська,0.0,35882000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14655700.0,35882000.0,0.0,14655700.0
2152000000,Чулаківська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25210500.0,0.0,0.0,25210500.0
2152300000,Ювілейна,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7804900.0,0.0,0.0,7804900.0
2255700000,Ізяславська,0.0,17766900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17766900.0,0.0,0.0
2252900000,Антонінська,0.0,9323000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1678900.0,9323000.0,0.0,1678900.0
2250100000,Берездівська,0.0,15212600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2068500.0,15212600.0,0.0,2068500.0
2254000000,Білогірська,0.0,10938200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10938200.0,0.0,0.0
2253400000,Вовковинецька,0.0,10939300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121000.0,10939300.0,0.0,121000.0
2250300000,Волочиська,12179600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12179600.0,0.0
2250200000,Війтовецька,0.0,6015300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015300.0,0.0,0.0
2255300000,Віньковецька,0.0,22975400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22975400.0,0.0,0.0
2250400000,Ганнопільська,0.0,11282800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83200.0,11282800.0,0.0,83200.0
2250500000,Гвардійська,0.0,7221100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7221100.0,0.0,0.0
2252700000,Городоцька,0.0,15756600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21252600.0,15756600.0,0.0,21252600.0
2253300000,Грицівська,0.0,6072100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6072100.0,0.0,0.0
2252400000,Гуківська,0.0,3980800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260200.0,3980800.0,0.0,260200.0
2250600000,Гуменецька,9643100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9643100.0,0.0
2255400000,Деражнянська,0.0,17287900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002200.0,17287900.0,0.0,2002200.0
2250700000,Дунаєвецька,0.0,33328400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33328400.0,0.0,0.0
2253600000,Жванецька,0.0,12842400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12842400.0,0.0,0.0
2255500000,Закупненська,0.0,5898700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5898700.0,0.0,0.0
2254800000,Заслучненська,0.0,4914900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4914900.0,0.0,0.0
2255600000,Зіньківська,0.0,4838900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382000.0,4838900.0,0.0,382000.0
2255800000,Кам'янець-Подільська,0.0,58948900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58948900.0,0.0,0.0
2250900000,Китайгородська,0.0,9319700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9319700.0,0.0,0.0
2253000000,Красилівська,5957700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5957700.0,0.0
2253800000,Крупецька,2770600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3192800.0,0.0,2770600.0,3192800.0
2252500000,Ленковецька,0.0,5160300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4696400.0,5160300.0,0.0,4696400.0
2251100000,Летичівська,0.0,5970800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5970800.0,0.0,0.0
2251200000,Лісовогринівецька,0.0,5342700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5342700.0,0.0,0.0
2251300000,Маківська,0.0,13241100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3939800.0,13241100.0,0.0,3939800.0
2251400000,Меджибізька,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6002000.0,0.0,0.0,6002000.0
2255900000,Миролюбненська,0.0,1330500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330500.0,0.0,0.0
2256000000,Михайлюцька,0.0,10146100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10146100.0,0.0,0.0
2251500000,Наркевицька,0.0,1675400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1675400.0,0.0,0.0
2254600000,Нетішинська,136743200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136743200.0,0.0
2250800000,Новодунаєвецька,0.0,11980800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11980800.0,0.0,0.0
2251600000,Новоушицька,0.0,34886600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34886600.0,0.0,0.0
2256100000,Орининська,0.0,12466300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12466300.0,0.0,0.0
2254700000,Плужненська,0.0,12242900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12242900.0,0.0,0.0
2251700000,Полонська,0.0,33702200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33702200.0,0.0,0.0
2251800000,Понінківська,0.0,2034400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2034400.0,0.0,0.0
2251900000,Розсошанська,21692900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21692900.0,0.0
2252000000,Сатанівська,0.0,8762800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8762800.0,0.0,0.0
2254900000,Сахновецька,417900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99700.0,0.0,417900.0,99700.0
2254500000,Славутська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
