Код громади,Назва громади,Вид кластеризації,Рік,Кластер,Відстань до центроїда
2555900000,Чернігівська,Пул (KMeans),2022,0,1.1573933263341873
2555900000,Чернігівська,Пул (Математичний),2022,1,0.8852564083242186
2556000000,Яблунівська,Пул (KMeans),2022,2,0.5095430251607075
2556000000,Яблунівська,Пул (Математичний),2022,0,1.3206724191608328
2453800000,Банилівська,Пул (KMeans),2022,2,0.44252300459132626
2453800000,Банилівська,Пул (Математичний),2022,0,1.2201439211188059
2453900000,Берегометська,Пул (KMeans),2022,2,0.5630974247331146
2453900000,Берегометська,Пул (Математичний),2022,0,1.248023388231871
2454000000,Боянська,Пул (KMeans),2022,2,0.4439818607211157
2454000000,Боянська,Пул (Математичний),2022,0,1.2288019484650023
2454100000,Брусницька,Пул (KMeans),2022,2,0.4665738877557507
2454100000,Брусницька,Пул (Математичний),2022,0,1.2246145065022265
2453400000,Ванчиковецька,Пул (KMeans),2022,2,0.5326929468655924
2453400000,Ванчиковецька,Пул (Математичний),2022,0,1.2385688618390254
2450100000,Вашковецька,Пул (KMeans),2022,2,0.44706826740766287
2450100000,Вашковецька,Пул (Математичний),2022,0,1.2409951968290251
2451100000,Вашківецька,Пул (KMeans),2022,2,0.4956608467651318
2451100000,Вашківецька,Пул (Математичний),2022,0,1.2276565506449002
2450200000,Великокучурівська,Пул (KMeans),2022,2,0.5247938862292233
2450200000,Великокучурівська,Пул (Математичний),2022,0,1.2346721153664784
2454200000,Веренчанська,Пул (KMeans),2022,2,0.4403239199976585
2454200000,Веренчанська,Пул (Математичний),2022,0,1.2240102548905798
2451200000,Вижницька,Пул (KMeans),2022,2,0.483609900616607
2451200000,Вижницька,Пул (Математичний),2022,0,1.2289263806759336
2450300000,Волоківська,Пул (KMeans),2022,2,0.496055708412689
2450300000,Волоківська,Пул (Математичний),2022,0,1.2499017122536524
2452300000,Вікнянська,Пул (KMeans),2022,0,0.9312536609630165
2452300000,Вікнянська,Пул (Математичний),2022,1,0.44664138501903594
2452700000,Герцаївська,Пул (KMeans),2022,2,0.5526021428312208
2452700000,Герцаївська,Пул (Математичний),2022,0,1.2435733302720637
2450400000,Глибоцька,Пул (KMeans),2022,2,0.463661140430228
